EN,FI,Product Name / Category
Glow up your skincare routine with vitamin C ✨ Check out these tutorials on how to do a depuffing face massage or a complete glowy skincare routine. 🧡,,Nordic-C [Valo] -products
"Is your skin looking dull during the darker months?
DISCOVER THE SECRET TO A HEALTHY NORDIC GLOW
Bursting with glow-giving Vitamin C, antioxidant-rich, hero ingredient Wild Arctic Cloudberry, hydrating Hyaluronic Acid and pure Arctic Spring Water, the Nordic-C range helps boost radiance and clarify dull-looking skin.","Hehkuvan ihon salaisuus! Nordic-C [Valo] -tuotteissa yhdistyvät suomalainen, antioksidanttipitoinen lakka, kirkastava C-vitamiini, kosteuttava hyaluronihappo sekä puhdas pohjoinen lähdevesi. Lopputuloksena kauniin säteilevä iho.",Nordic-C [Valo] -products
"Gentle & Hydrating Products for Winter Skin
During the colder season, your skin might need extra care—explore our product tips.",Kylmempänä vuodenaikana ihosi saattaa kaivata erityistä hoitoa – tutustu alta tuotevinkkeihimme.,Nordic Hydra [Lähde] & Nordic Sensitive [Herkkä] -products 
"Achieve a radiant, second-skin glow with our skincare-infused makeup.","Hoitavia pohjoisia ainesosia sisältävät tuotteet auttavat heleyttämään, kosteuttamaan ja hoitamaan ihoa saaden ihosi näyttämään hyvinvoivalta ja hehkuvalta.",Invisible Illumination -products 
"Love pink?💕 
Check out these glowing looks created with pink products and try them yourself!✨","Rakastatko pinkkiä? 💕 Tutustu näihin hehkuviin lookeihin, jotka on luotu pinkeillä tuotteilla ja kokeile itse! ✨",Makeup (pink products)
"The Perfect Glowy Everyday Makeup Look
Discover how to achieve a natural, radiant glow with a makeup routine that's perfect for everyday wear. ","Luo virheetön ja luonnollisen heleä meikki, joka sopii jokaiseen päivään!",All makeup 
Skincare enriched with natural Nordic ingredients and radiance boosting skincare-infused makeup – discover our line-up of impressive gifts for everyone on your list. ,"
Pohjoisen luonnon raaka-aineilla rikastettuja ihonhoitotuotteita ja ihoa hoitavia meikkejä, joilla saa aikaan luonnollisen kauniin hehkun. Tutustu lahjaoppaaseemme ja löydä täydelliset lahjat jokaiselle.",All products
"Have you already tried the prettiest makeup trend of the summer?
Create a sunset blush with Invisible Illumination products. ✨","Oletko jo kokeillut tätä ihanaa meikkitrendiä?
Poskipuna, mutta tee siitä auringonlasku 🧡",Invisible Illumination -products 
"For a ‘your skin but better’ finish, try our CC range for an effortless look. The best selling CC Cream illuminates and evens out skin tone, and the NEW CC All-Over Concealer gives a naturally glowing skin-like finish.","CC-tuotteilla luot vaivattoman ""no makeup"" -meikkilookin. Rakastettu CC-voide tasoittaa ja heleyttää ihoa, ja UUSI CC Peitevoide antaa viimeistellyn, luonnollisesti hehkuvan lopputuloksen.","CC Color Correcting Cream SPF20, CC All-Over Concealer"
Discover your perfect serum 💧 ,Löydä täydellinen seerumi! ,All serums
"Unlock your Nordic glow ✨ 
Bursting with glow-giving Vitamin C, antioxidant-rich, hero ingredient Wild Arctic Cloudberry, hydrating Hyaluronic Acid and pure Arctic Spring Water, the Nordic-C range helps boost radiance and clarify dull-looking skin.",,Nordic-C [Valo] -products
"Achieve a radiant, second-skin glow✨ Follow our easy application guide for a luminous look.","Lue, kuinka luot Invisible Illumination -tuotteilla kauniin raikkaan ja heleän ”no-makeup”-meikkilookin",Invisible Illumination -products 
"From radiant skincare must-haves to trending makeup essentials, these personalized recommendations are designed to help you look and feel your best. 💗",Hehkuvan ihonhoidon suosikeista ajankohtaisiin meikkitrendeihin – nämä suositukset on suunniteltu juuri sinulle! 💗,All products
"Introducing our power ingredient:
Wild Cloudberry

✨Brightens and energizes skin
✨A source of natural, potent vitamin C, E & vitamin A precursor
✨Anti-ageing thanks to its concentration of ellagitannins, which help to preserve skin’s collagen",,Nordic-C [Valo] -products
Simple steps to glowing skin ✨,4 helppoa askelta raikkaan hehkuvaan meikkipohjaan✨,Invisible Illumination -products 
Hydrating Heroes for All Skin Types💙,Tuo ihollesi intensiivistä kosteutta Nordic Hydra [Lähde] -sarjalla,Nordic Hydra [Lähde]  -products 
4 Ways to Use Berry Pre-Retinol Facial Oil,Lumoudu kasvoöljystä – 4 ihanaa tapaa käyttää,Nordic Bloom [Lumo] Berry Pre-Retinol Facial Oil
Discover the potent power of Nordic berries! ,,Nordic Bloom [Lumo] -products
"
Shop the products our customers are loving ✨",,Bestsellers 