EN,FI,Product Name / Category
"Double the Beauty: Buy 1, Get 1💕
One for you and one for your friend! Buy 1, Get 1 Free on selected skincare and makeup products!","Kaksi yhden hinnalla!💕
Toinen itselle ja toinen ystävälle! Valikoidut ihonhoito- ja meikkituotteet nyt huipputarjouksessa: osta 1, saat toisen ilmaiseksi.
 ","Invisible Illumination, Nordic Bloom [Lumo], CC"
"
Achieve a perfected, natural makeup look!
Use code FLAWLESS to get 25% off makeup until Sunday. ",Korosta ihosi luonnollista hehkua! Kaikki meikit -30%,All makeup 
"A lightweight skincare foundation with buildable coverage for even, naturally luminous finish
 
Get yours now for just €20 (-53.38%) with code SIF20! ","Kevyt ihonhoidollinen meikkivoide luonnollisen hehkuvaan lopputulokseen
 
Palkittu Seerumimeikkivoide SPF30 etuhintaan 20€ (-53.38%) koodilla: SIF20. ",Invisible Illumination Vegan Collagen Serum in Foundation SPF30
"Over 50% Off – Limited Time Only!
Get the Anti-Wrinkle & Firm Night Moisturizer for Just £10!
This replenishing night cream is clinically tested to moisturize skin, make skin look firmer, and reduce the appearance of wrinkles.
 
Hurry – this offer ends on Sunday, February 2nd, or while stocks last. Don’t miss out!",,Nordic Bloom [Lumo] Anti-Wrinkle & Firm Night Moisturizer
" £10 DEAL – LIMITED TIME ONLY!
Get our best-selling Nordic-C [Valo] Glow Boost Essence for just £10—that's 72.6% off! Hurry, this offer is valid until Sunday or while stocks last!",,Nordic-C [Valo] Glow Boost Essence
"20% off day creams with code MOISTURISE
From lightweight gels to ultra nourishing balms, discover our day creams infused with natural Nordic ingredients, designed to provide hydration and protection to your skin.",,All day creams
,Nauti sileämmän ja kiinteämmän näköisestä ihosta! Nordic Bloom [Lumo] -tuotteet -30% koodilla BLOOM,Nordic Bloom [Lumo] -products 
Refresh your beauty routine for spring! Shop & save 20%,Päivitä kauneusrutiinisi kevääseen! Shoppaile & säästä 20%,All products
Get 3 for 2 on all of your skincare and makeup favorites,"Kaikki tuotteet nyt osta 3, maksa 2! ",All products
Get your glow on with 20% off our bestselling Nordic-C collection,,Nordic-C [Valo] -products
Say bye bye to dryness! Nordic Hydra [Lähde] -30% ,"Jätä hyvästit kuivalle iholle!
Nordic Hydra [Lähde] -30%",Nordic Hydra [Lähde] -products
"25% OFF EVERYTHING + $10 SPECIAL DEALS 
Your winter favorites are waiting—treat yourself today! ❄️But hurry, these amazing offers are only here for a limited time!",,All products
Refresh your makeup bag for summer! Buy 2 or more products from our collection and save 20% ,,All makeup 
Your spring glow awaits! Save 20% on your favourite Lumene products 💐,,All products